pt1_cam1_X,pt1_cam1_Y
276.890000,465.670000
279.030000,464.770000
281.290000,463.630000
284.400000,462.560000
287.300000,460.870000
290.010000,459.240000
291.980000,458.080000
293.790000,456.970000
295.940000,454.440000
298.000000,451.790000
299.680000,448.900000
300.970000,446.160000
302.100000,443.760000
302.940000,441.640000
303.750000,439.430000
304.290000,436.410000
304.340000,433.130000
304.170000,429.980000
303.950000,427.170000
303.580000,424.670000
303.030000,422.540000
302.490000,420.400000
301.000000,418.160000
299.270000,416.320000
297.830000,414.610000
296.070000,413.480000
293.540000,412.780000
290.770000,412.920000
287.350000,413.870000
284.540000,415.320000
281.960000,417.130000
279.730000,419.200000
278.070000,421.480000
276.900000,423.860000
275.960000,425.850000
275.270000,427.740000
275.230000,430.080000
275.730000,432.650000
276.550000,435.500000
277.340000,438.180000
278.170000,440.630000
279.600000,443.340000
281.350000,446.120000
283.300000,448.600000
285.450000,450.570000
287.610000,452.170000
290.640000,453.120000
293.840000,451.790000
297.220000,448.300000
298.550000,444.450000
299.150000,441.090000
299.580000,438.300000
298.800000,433.950000
297.520000,429.960000
296.170000,426.720000
295.190000,423.830000
294.330000,421.460000
293.590000,419.380000
292.900000,417.180000
292.830000,414.260000
293.160000,410.920000
293.580000,407.810000
294.000000,405.260000
294.310000,403.030000
294.710000,401.050000
294.860000,399.090000
295.000000,397.160000
294.890000,395.210000
294.580000,392.970000
293.020000,390.570000
291.440000,388.300000
289.510000,386.280000
287.980000,384.700000
286.240000,383.340000
285.120000,382.300000
284.010000,381.440000
281.640000,381.000000
279.530000,380.410000
277.100000,380.540000
274.530000,381.280000
272.510000,382.050000
270.880000,382.730000
269.410000,383.090000
267.750000,384.470000
266.090000,386.620000
264.910000,388.810000
264.100000,390.800000
263.660000,392.690000
263.890000,395.110000
264.840000,397.330000
266.240000,400.000000
267.760000,402.350000
268.970000,404.210000
270.800000,405.990000
273.340000,407.850000
275.960000,409.290000
278.470000,410.250000
280.640000,410.910000
283.260000,410.820000
286.130000,410.390000
288.810000,409.330000
291.380000,407.790000
293.440000,406.120000
295.680000,403.990000
297.610000,401.740000
299.530000,399.320000
300.790000,397.070000
302.080000,395.040000
303.150000,393.090000
304.270000,390.660000
305.590000,387.540000
306.760000,384.660000
307.780000,381.810000
308.650000,379.120000
309.240000,376.770000
309.820000,374.830000
310.200000,373.070000
310.720000,371.040000
311.030000,367.950000
311.160000,364.570000
311.120000,361.310000
311.070000,358.510000
311.050000,356.270000
310.950000,354.050000
310.730000,351.960000
310.560000,349.920000
309.700000,346.810000
308.690000,343.800000
307.600000,341.000000
306.640000,338.260000
305.600000,335.980000
304.730000,333.970000
303.850000,331.950000
302.790000,329.570000
301.670000,326.280000
300.710000,323.060000
300.030000,320.300000
299.740000,317.770000
299.440000,315.660000
300.090000,312.950000
301.050000,310.340000
302.270000,308.040000
303.520000,305.950000
304.850000,303.930000
307.090000,301.940000
309.260000,300.390000
311.280000,299.630000
314.160000,299.490000
317.170000,301.130000
319.780000,303.060000
321.610000,304.990000
322.930000,306.700000
323.950000,307.980000
324.860000,309.410000
325.160000,312.380000
325.230000,315.210000
325.020000,317.960000
324.640000,320.500000
324.170000,322.640000
323.800000,324.540000
322.890000,327.120000
321.950000,329.970000
320.950000,332.800000
320.230000,335.300000
319.550000,337.550000
319.400000,340.310000
319.870000,343.180000
320.560000,345.780000
321.240000,347.810000
322.020000,349.680000
324.120000,351.840000
326.040000,353.330000
328.300000,354.230000
330.430000,354.880000
333.740000,354.540000
336.440000,354.040000
339.280000,352.590000
342.110000,350.620000
344.910000,347.790000
346.810000,345.000000
348.260000,342.650000
349.470000,340.600000
350.510000,338.690000
351.300000,336.390000
351.970000,333.040000
352.680000,329.890000
352.910000,327.000000
353.180000,324.390000
353.300000,322.120000
353.460000,320.090000
353.720000,317.580000
354.300000,313.860000
354.770000,310.540000
354.960000,307.730000
355.360000,305.220000
355.560000,303.040000
355.910000,300.830000
356.080000,298.720000
355.870000,295.290000
355.310000,291.830000
354.650000,288.480000
354.000000,285.850000
353.270000,283.480000
352.770000,281.380000
352.150000,279.490000
351.630000,277.910000
350.610000,275.750000
349.520000,273.280000
347.830000,270.560000
346.120000,267.860000
344.160000,265.310000
342.740000,263.550000
340.910000,262.210000
337.640000,260.970000
335.110000,259.720000
332.560000,258.690000
330.200000,258.290000
328.000000,257.900000
326.110000,257.250000
322.710000,257.210000
319.930000,257.410000
317.070000,258.290000
314.380000,259.240000
312.450000,260.060000
310.490000,261.150000
308.620000,262.920000
306.930000,265.190000
305.640000,267.270000
304.580000,269.330000
303.920000,271.160000
303.270000,272.990000
303.060000,274.940000
303.480000,277.350000
304.540000,280.000000
305.870000,282.380000
306.970000,284.410000
308.080000,285.900000
309.710000,287.720000
312.090000,288.940000
314.330000,290.070000
316.670000,290.720000
318.690000,290.920000
321.360000,290.740000
323.370000,290.350000
325.610000,289.100000
327.630000,287.500000
329.150000,285.920000
330.370000,283.240000
330.980000,280.750000
331.230000,278.080000
331.310000,275.620000
331.180000,273.370000
330.560000,270.760000
329.200000,267.770000
327.970000,265.050000
326.630000,262.530000
325.340000,260.700000
324.160000,258.970000
322.370000,256.860000
320.020000,254.860000
317.850000,252.800000
315.720000,250.800000
313.900000,249.230000
312.270000,248.060000
310.920000,246.920000
309.250000,245.540000
306.780000,243.390000
303.940000,241.050000
301.490000,239.040000
299.360000,237.020000
297.330000,235.080000
294.820000,233.180000
292.030000,231.420000
289.440000,230.290000
287.320000,229.450000
